"","X.1","X","Страна..откуда.","Страна..куда.","временной.период"
"1",1,0,"Российская Империя","Российская Империя","1891 - 1916 гг."
"2",2,1,"Российская Империя","Российская Империя","1891 - 1916 гг."
"3",3,2,"Российская Империя","Российская Империя","1891 - 1916 гг."
"4",4,3,"Российская Империя","Германия","1891 - 1916 гг."
"5",5,5,"Российская Империя","Российская Империя","1891 - 1916 гг."
"6",6,6,"Российская Империя","Российская Империя","1891 - 1916 гг."
"7",7,7,"[отсутствует]","Российская Империя","Неизвестный период"
"8",8,8,"Российская Империя","Российская Империя","1891 - 1916 гг."
"9",9,9,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"10",10,10,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"11",11,11,"Российская Империя","Российская Империя","1891 - 1916 гг."
"12",12,12,"Российская Империя","Российская Империя","1891 - 1916 гг."
"13",13,13,"Российская Империя","Российская Империя","1891 - 1916 гг."
"14",14,14,"Россия","Германия","1917 - 1940 гг."
"15",15,15,"Российская Империя","Российская Империя","1891 - 1916 гг."
"16",16,16,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"17",17,17,"Российская Империя","Российская Империя","Неизвестный период"
"18",18,18,"Россия","Россия","1917 - 1940 гг."
"19",19,19,"[отсутствует]","Российская Империя","Неизвестный период"
"20",20,20,"Российская Империя","Российская Империя","1891 - 1916 гг."
"21",21,21,"Российская Империя","Российская Империя","1891 - 1916 гг."
"22",22,22,"Российская Империя","Российская Империя","1891 - 1916 гг."
"23",23,23,"Российская Империя","Российская Империя","1891 - 1916 гг."
"24",24,24,"Россия","Франция","1891 - 1916 гг."
"25",25,25,"Российская Империя","Российская Империя","1891 - 1916 гг."
"26",26,26,"Российская Империя","Российская Империя","1891 - 1916 гг."
"27",27,27,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"28",28,28,"Российская Империя","Российская Империя","1891 - 1916 гг."
"29",29,29,"Российская Империя","Российская Империя","1891 - 1916 гг."
"30",30,30,"Российская Империя","Российская Империя","1891 - 1916 гг."
"31",31,31,"Российская Империя","Российская Империя","1891 - 1916 гг."
"32",32,32,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"33",33,33,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"34",34,34,"СССР","СССР","Неизвестный период"
"35",35,35,"[отсутствует]","Российская Империя","Неизвестный период"
"36",36,36,"Российская Империя","Российская Империя","1891 - 1916 гг."
"37",37,37,"Российская Империя","Российская Империя","Неизвестный период"
"38",38,38,"Российская Империя","Российская Империя","1891 - 1916 гг."
"39",39,39,"Российская Империя","Российская Империя","1917 - 1940 гг."
"40",40,40,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"41",41,41,"Российская Империя","Российская Империя","1891 - 1916 гг."
"42",42,43,"[отсутствует]","Российская Империя","Неизвестный период"
"43",43,44,"Российская Империя","Российская Империя","Неизвестный период"
"44",44,45,"Российская Империя","Российская Империя","1891 - 1916 гг."
"45",45,46,"Российская Империя","Российская Империя","1891 - 1916 гг."
"46",46,47,"[отсутствует]","СССР","Неизвестный период"
"47",47,48,"Российская Империя","Российская Империя","1891 - 1916 гг."
"48",48,49,"Российская Империя","Российская Империя","Неизвестный период"
"49",49,50,"Российская Империя","Российская Империя","Неизвестный период"
"50",50,51,"СССР","СССР","Неизвестный период"
"51",51,52,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"52",52,53,"Российская Империя","Российская Империя","Неизвестный период"
"53",53,54,"Российская Империя","Российская Империя","1891 - 1916 гг."
"54",54,55,"Российская Империя","Российская Империя","1891 - 1916 гг."
"55",55,56,"Российская Империя","Российская Империя","1891 - 1916 гг."
"56",56,57,"[отсутствует]","Российская Империя","Неизвестный период"
"57",57,58,"[отсутствует]","СССР","1941 - 1965 гг."
"58",58,59,"[отсутствует]","Российская Империя","Неизвестный период"
"59",59,60,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"60",60,61,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"61",61,62,"Российская Империя","Российская Империя","1891 - 1916 гг."
"62",62,63,"Российская Империя","Российская Империя","1891 - 1916 гг."
"63",63,64,"Российская Империя","Российская Империя","1891 - 1916 гг."
"64",64,65,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"65",65,66,"Российская Империя","Российская Империя","1891 - 1916 гг."
"66",66,67,"Российская Империя","Российская Империя","1891 - 1916 гг."
"67",67,68,"Российская Империя","Российская Империя","1891 - 1916 гг."
"68",68,69,"Российская Империя","Российская Империя","1891 - 1916 гг."
"69",69,70,"Российская Империя","Российская Империя","1891 - 1916 гг."
"70",70,71,"Российская Империя","Российская Империя","1891 - 1916 гг."
"71",71,72,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"72",72,73,"Российская Империя","Российская Империя","1891 - 1916 гг."
"73",73,74,"Российская Империя","Российская Империя","1891 - 1916 гг."
"74",74,75,"[отсутствует]","Российская Империя","Неизвестный период"
"75",75,76,"Российская Империя","Российская Империя","1891 - 1916 гг."
"76",76,77,"Российская Империя","Российская Империя","1891 - 1916 гг."
"77",77,79,"Российская Империя","Российская Империя","1891 - 1916 гг."
"78",78,80,"Российская Империя","Российская Империя","1891 - 1916 гг."
"79",79,81,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"80",80,82,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"81",81,83,"Российская Империя","Российская Империя","1891 - 1916 гг."
"82",82,84,"[отсутствует]","Российская Империя","Неизвестный период"
"83",83,85,"Российская Империя","Российская Империя","1891 - 1916 гг."
"84",84,86,"Российская Империя","Российская Империя","1891 - 1916 гг."
"85",85,87,"Российская Империя","Российская Империя","1891 - 1916 гг."
"86",86,88,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"87",87,89,"Российская Империя","Российская Империя","1891 - 1916 гг."
"88",88,90,"Российская Империя","Российская Империя","1891 - 1916 гг."
"89",89,91,"Российская Империя","Российская Империя","1891 - 1916 гг."
"90",90,93,"Российская Империя","Российская Империя","1891 - 1916 гг."
"91",91,94,"СССР","СССР","1966 - 1985 гг."
"92",92,95,"СССР","СССР","1966 - 1985 гг."
"93",93,96,"СССР","СССР","1941 - 1965 гг."
"94",94,97,"СССР","СССР","1941 - 1965 гг."
"95",95,98,"СССР","СССР","1941 - 1965 гг."
"96",96,99,"СССР","СССР","1941 - 1965 гг."
"97",97,100,"СССР","СССР","1966 - 1985 гг."
"98",98,101,"СССР","СССР","1941 - 1965 гг."
"99",99,102,"СССР","СССР","1966 - 1985 гг."
"100",100,103,"СССР","СССР","1941 - 1965 гг."
"101",101,104,"[отсутствует]","Российская Империя","Неизвестный период"
"102",102,105,"СССР","СССР","1966 - 1985 гг."
"103",103,106,"Китай","Российская Империя","1891 - 1916 гг."
"104",104,107,"Российская Империя","Российская Империя","1891 - 1916 гг."
"105",105,108,"Россия","Российская Империя","1891 - 1916 гг."
"106",106,109,"Российская Империя","Российская Империя","Неизвестный период"
"107",107,110,"[отсутствует]","Россия","1917 - 1940 гг."
"108",108,111,"[отсутствует]","Россия","1917 - 1940 гг."
"109",109,112,"Российская Империя","Российская Империя","Неизвестный период"
"110",110,114,"[отсутствует]","Российская Империя","Неизвестный период"
"111",111,115,"[отсутствует]","Российская Империя","Неизвестный период"
"112",112,116,"Российская Империя","Российская Империя","1891 - 1916 гг."
"113",113,117,"Российская Империя","Российская Империя","1891 - 1916 гг."
"114",114,118,"Российская Империя","Российская Империя","1891 - 1916 гг."
"115",115,119,"[отсутствует]","Российская Империя","Неизвестный период"
"116",116,120,"[отсутствует]","Россия","1917 - 1940 гг."
"117",117,121,"Российская Империя","Российская Империя","1891 - 1916 гг."
"118",118,122,"СССР","СССР","1917 - 1940 гг."
"119",119,123,"Российская Империя","Российская Империя","1891 - 1916 гг."
"120",120,124,"Российская Империя","Российская Империя","1891 - 1916 гг."
"121",121,125,"Российская Империя","Российская Империя","Неизвестный период"
"122",122,126,"Российская Империя","Российская Империя","1891 - 1916 гг."
"123",123,127,"[отсутствует]","Российская Империя","Неизвестный период"
"124",124,128,"Россия","Россия","1917 - 1940 гг."
"125",125,129,"Российская Империя","Российская Империя","1891 - 1916 гг."
"126",126,130,"Россия","Россия","1917 - 1940 гг."
"127",127,131,"Российская Империя","Российская Империя","1891 - 1916 гг."
"128",128,132,"[отсутствует]","Российская Империя","Неизвестный период"
"129",129,133,"СССР","СССР","Неизвестный период"
"130",130,134,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"131",131,135,"[отсутствует]","СССР","1917 - 1940 гг."
"132",132,136,"СССР","СССР","1917 - 1940 гг."
"133",133,137,"[отсутствует]","СССР","Неизвестный период"
"134",134,138,"Российская Империя","Российская Империя","Неизвестный период"
"135",135,139,"[отсутствует]","СССР","1941 - 1965 гг."
"136",136,140,"[отсутствует]","Российская Империя","1891 - 1916 гг."
"137",137,141,"Российская Империя","Российская Империя","1891 - 1916 гг."
